Crash_ID,Damaged_Property
11161716,30 FT OF GUARD RAIL
11164756,ROCK WALL SURROUNDING RESIDENCE
11164756,TRASH CONTAINER
11166892,ROOF TRIM
11169278,PALM TRESS
11170182,GUARD RAIL
11171135,GAS METER
11172121,FIRE HYDRANT(MUELLER #718)
11172382,GUARD RAIL
11175620,DRUMS
11177451,ROCK WALL
11177963,LIGHT POLE
11178887,WALL OF BUILDING
11179562,FENCE
11179562,LIGHT POLE
11179754,ONE ELECTRICAL POLE
11179808,45 MPH SPEED SIGN
11180212,METAL GUARDRAIL
11187491,GAS METER
11192319,STOP SIGN
11192319,LANSCAPING
11193862,TRAFFIC CONTROL DEVICE
11193990,CONCRETE BARRIER
11201194,FRONT GATE OF RESIDENCE (12960
11221257,LIGHT POLE
11223810,EXTRUDER TERMINAL
11223810,2 WOODEN POST
11240366,2 POLES USED TO BUILD CHAIN LINKED
11248289,WALK SIGNAL POLE
11263490,ROCKWALL
11264038,"LEFT REAR TIRE RIM, CHROME IN COLOR"
11272395,STREET SIGN
11272700,FIXED METAL POLE
11284133,FENCE/ROCKWALL
11284549,WROUGHT IRON FENCING
11284549,ROCK WALL
11285459,GAS METER
11286362,CABLE GUARD RAIL W/POSTS
11286364,10 FT CHAIN FENCE
11286364,CONCRETE DRIVE WAY
11289260,FIRE HYDRANT
11294138,15 FOOT SECTION OF CHAINLINK FENCE
11294138,FIRE HYDRANT
11294141,25 FT BARBWIRE
11296243,METAL GUARDRAIL
11296247,OBJECT MARKER SIGN
11297295,FIRE HYDRANT
11297326,STOP SIGN
11297367,BUILDING CONCRETE PILAR
11297711,1 WATER VALVE
11297897,CHAIN LINK FENCE
11297919,ROCK WALL FENCE
11297932,CEMENT IRRIGATION DITCH FIVE AND A
11297938,WOODEN SIGN/CHAIN LINK FENCE
11298098,STOP SIGN
11298098,FENCE/POLE
11298105,MAIL BOX
11299538,TRASH CAN
11299538,ELECTRIC POLE WITH LIGHT
11299540,EXTRUDER TERMINAL
11300715,FRONT WALL TO BUSINESS
11300920,GUARD RAIL
11300926,ROCK STRUCTURE HOUNSING MAILBOX
11306965,WATER PIPING
11313638,WATER PIPING
11317733,LANDSCAPE
11318396,FIRE HYDRANT(MUELLER #718)
11318424,ELECTRIC POLES
11318424,CHAIN LINK FENCE
11319328,GREEN CABLE BOX
11332816,2FT ROCK WALL
11336190,FENCE
11336272,4'X60' WIRE FENCING
11343682,LANDSCAPING
11343695,CABLE BARRIER / POSTS
11347977,CONCRETE FITTINGS
11347977,REBAR CONCRETE
11347977,GAS ELECTRIC GENERATOR
11348585,CHAIN LINK FENCE AND POLE
11352193,CHAIN LINKED FENCE
11353040,MOBILE HOME
11353041,ROCK WALL
11357475,TREE METAL POLES 5 FOOT
11357618,TREE/SHRUBS
11357618,TELEPHONE WIRE BOX
