Crash_ID,Unit_Nbr,Drvr_Lic_Endors_ID
11152601,1,3
11152601,1,6
11154414,2,98
11165047,1,99
11166360,1,8
11166360,2,8
11166892,1,3
11167401,2,8
11168951,1,2
11168951,1,3
11168951,1,6
11168951,2,3
11168951,2,6
11169295,1,8
11173491,1,4
11175389,1,8
11175616,1,8
11177451,1,8
11178371,1,96
11179061,2,8
11179124,2,99
11179300,1,8
11179625,1,8
11180448,1,8
11191561,2,6
11192230,1,2
11192235,1,8
11192308,1,2
11192308,1,6
11192308,1,7
11192315,1,6
11192315,1,7
11193211,1,2
11193211,1,6
11193211,1,7
11193224,2,99
11193573,1,99
11193838,1,96
11193869,1,8
11200088,3,99
11201193,1,8
11210661,1,8
11211693,1,8
11221216,2,3
11221216,2,6
11221257,1,8
11221958,1,99
11227939,1,3
11227939,1,6
11227939,3,3
11247440,1,99
11247562,2,96
11248034,1,99
11248143,1,8
11248273,1,8
11248289,1,8
11248394,1,99
11248609,1,99
11257678,1,99
11257702,1,8
11257759,1,99
11260084,1,98
11266535,1,8
11271173,1,8
11271173,2,3
11272235,1,8
11275327,1,4
11280994,1,99
11281072,1,8
11284549,1,99
11285163,2,96
11285281,2,99
11286041,1,99
11286203,1,99
11286214,1,99
11286253,1,8
11286377,1,8
11294094,1,3
11294094,1,6
11294194,2,2
11294194,2,5
11294194,2,7
11294714,1,8
11294731,3,8
11295366,1,3
11295366,1,4
11295366,1,6
11296353,1,2
11296353,1,6
11296353,1,7
11296353,3,7
11296368,1,96
11296473,2,8
11297334,1,8
11297367,1,8
11297506,1,8
11297734,2,8
11297903,1,8
11297919,1,8
11297932,1,8
11298142,1,99
11298142,3,99
11299534,1,8
11300784,1,8
11300896,1,8
11300918,1,3
11314953,1,99
11314957,1,8
11316921,2,8
11318590,2,2
11318590,2,5
11319307,3,8
11326462,1,99
11326469,2,8
11329473,1,6
11329473,1,7
11332816,1,5
11341832,1,8
11341832,2,96
11343097,1,99
11343676,1,8
