Crash_ID,Unit_Nbr,Drvr_Lic_Restric_ID
11152601,1,26
11152601,1,27
11152601,3,19
11153668,1,19
11154414,2,98
11155756,1,98
11155756,2,19
11156385,2,1
11164081,1,19
11164081,2,19
11164139,1,1
11164242,1,99
11165047,1,99
11165839,2,1
11166103,1,19
11166103,2,19
11166360,1,20
11166360,2,20
11167364,1,23
11167399,1,1
11167401,2,20
11167405,2,1
11168945,1,1
11168945,1,11
11168945,2,1
11168951,1,11
11169278,1,99
11169295,1,20
11169898,1,1
11169921,1,1
11169964,2,1
11170100,2,1
11170164,2,1
11170420,2,1
11170907,2,1
11171066,1,19
11172050,1,1
11172059,1,1
11172059,1,11
11173491,1,11
11173491,3,1
11173493,1,1
11175034,2,1
11175113,1,1
11175389,1,20
11175389,2,1
11175616,1,20
11175616,2,1
11177125,1,1
11177133,1,1
11177451,1,20
11177973,1,1
11177973,2,1
11178371,1,19
11178887,1,20
11179061,2,20
11179077,2,1
11179091,1,1
11179091,2,1
11179124,1,1
11179257,1,1
11179300,1,20
11179562,1,1
11179573,1,1
11179625,1,20
11179625,2,1
11179634,1,19
11179634,2,19
11179655,1,1
11179748,1,1
11179771,2,19
11179780,1,1
11179798,1,1
11180448,1,20
11183225,2,1
11187495,1,1
11191561,1,1
11192230,2,1
11192230,2,14
11192232,3,1
11192232,4,1
11192235,1,20
11192315,1,11
11193224,2,1
11193838,1,98
11193869,1,20
11193937,2,1
11197622,1,98
11197622,2,98
11200088,2,1
11200088,3,1
11201193,1,20
11210366,1,1
11210366,1,11
11210661,1,20
11211433,1,1
11211433,1,14
11211693,1,20
11211720,2,1
11211810,1,1
11211831,1,1
11211849,2,1
11218745,2,1
11218745,3,1
11219687,1,1
11220832,1,1
11220859,2,1
11220862,2,1
11221217,1,1
11221243,1,1
11221257,1,20
11221958,1,99
11221963,1,99
11221963,2,19
11222225,1,1
11222250,1,1
11224969,2,1
11227937,1,99
11227939,1,19
11227939,3,19
11240366,1,1
11245090,1,1
11245090,2,98
11247354,2,1
11247440,1,20
11247440,2,1
11247501,1,1
11247562,2,98
11247564,1,1
11247564,2,1
11247601,1,19
11247611,2,1
11248034,1,99
11248034,2,1
11248074,1,1
11248076,2,1
11248142,1,1
11248143,1,20
11248273,1,20
11248289,1,20
11248309,1,1
11248309,2,1
11248394,1,99
11248579,2,1
11248608,2,1
11248609,1,99
11248614,2,1
11250857,1,99
11251246,1,99
11251246,2,19
11257626,2,1
11257678,1,99
11257702,1,20
11257713,1,99
11257722,1,1
11257754,1,1
11257754,2,1
11257759,1,99
11260084,1,19
11261874,1,1
11262167,1,99
11263764,1,99
11263978,1,23
11264017,1,99
11264084,1,1
11264280,2,1
11264302,1,99
11265371,2,1
11266535,1,20
11266963,2,1
11271173,1,20
11271173,2,19
11272235,1,20
11272700,1,11
11275327,1,19
11280865,1,1
11280865,2,1
11280994,1,99
11281063,2,1
11281072,1,20
11284133,1,21
11284406,1,1
11284549,1,99
11285163,1,1
11285163,2,98
11285281,2,99
11285406,2,1
11285408,1,1
11285408,2,1
11285421,2,1
11285444,2,1
11286041,1,99
11286120,1,1
11286203,1,99
11286208,1,1
11286212,2,1
11286216,2,1
11286218,1,1
11286218,2,1
11286220,1,23
11286253,1,20
11286361,3,1
11286361,3,21
11286377,1,20
11287127,1,1
11287127,2,19
11287136,1,1
11294097,1,19
11294097,2,19
11294134,1,1
11294139,1,19
11294714,1,20
11294715,2,1
11294728,3,1
11294731,3,20
11295316,2,1
11295362,1,1
11295366,1,1
11295368,1,1
11295404,1,14
11295404,2,1
11295404,2,25
11295613,1,19
11295613,2,98
11295614,1,19
11295614,2,19
11295615,1,98
11295615,2,98
11296353,1,11
11296353,3,11
11296366,2,1
11296368,1,19
11296473,2,20
11296822,2,1
11296886,1,1
11296949,1,1
11296963,1,1
11296963,2,1
11296963,2,11
11297019,1,1
11297111,2,1
11297199,1,1
11297199,2,19
11297334,1,20
11297367,1,20
11297370,1,1
11297423,2,1
11297506,1,20
11297511,1,1
11297709,1,1
11297709,2,1
11297734,2,20
11297903,1,20
11297910,2,1
11297910,2,21
11297915,2,1
11297919,1,20
11297932,1,20
11297939,2,1
11298058,2,1
11299534,1,20
11299534,2,19
11299538,1,1
11299540,1,19
11300357,2,19
11300716,1,1
11300783,2,1
11300784,1,20
11300784,2,1
11300895,2,1
11300896,1,20
11300918,1,98
11313639,1,19
11313639,2,99
11314953,1,99
11314957,1,20
11316921,2,20
11318422,2,1
11318474,2,1
11318476,2,1
11318521,3,1
11318553,1,14
11318576,2,1
11318582,1,1
11318588,2,1
11318590,2,1
11318597,2,1
11318607,2,1
11319307,3,20
11319313,1,1
11319943,1,1
11326458,2,21
11326462,1,99
11326469,1,19
11326469,2,20
11329472,1,19
11329472,2,19
11329473,1,11
11329475,1,99
11329476,1,99
11336105,1,1
11336109,1,1
11336113,1,21
11336188,1,99
11336188,2,99
11336306,1,99
11341832,1,20
11341832,2,98
11343097,2,1
11343268,1,19
11343268,2,19
11343674,1,1
11343676,1,20
11343770,2,1
11343779,1,20
11343787,2,1
11343796,2,1
11343823,2,1
11343860,1,1
11343950,1,20
11347982,1,11
11347982,1,21
11347982,2,20
11348529,1,1
11348529,2,1
11348529,3,19
11348529,4,19
11348530,1,19
11348530,2,1
11348530,3,19
11350813,1,99
11350813,2,1
11352193,1,19
11353041,1,19
11353043,1,20
11353043,2,19
11357466,1,99
11357504,1,1
11357511,1,20
11357520,1,1
11357520,2,1
11357528,2,1
11357533,1,1
11357563,2,1
11357598,1,98
11357598,2,1
11357606,1,1
11357614,1,1
11364389,2,1
11364391,1,20
11364399,1,20
11364401,2,1
11365367,1,1
11365367,2,98
11365398,1,20
11365442,1,23
11365476,2,11
11368614,1,99
11368616,2,19
11369126,2,1
11369132,1,20
11373902,1,21
11373902,1,22
11373904,1,1
11383723,1,19
11383723,2,99
11389191,1,19
11389191,2,98
11389192,2,99
11390567,1,19
11390578,1,99
11390578,2,19
11390608,1,20
11390935,1,19
11390938,2,19
11392351,2,1
11392397,1,1
11392397,1,25
11392401,1,1
11392413,1,1
11392424,1,19
11392424,2,19
11392525,1,1
11392529,1,20
11392684,2,1
11393837,2,1
11393885,1,20
11393892,2,1
11393937,3,20
11393955,1,1
11393955,1,14
11394383,1,1
11394402,1,99
11394402,2,1
11394858,1,1
11394889,1,1
11395044,2,1
11395044,2,11
11395074,2,20
11395296,1,1
11395296,2,1
11395335,1,19
11395335,2,19
11395374,2,1
11395533,2,1
11395535,1,20
11395542,1,20
11395549,1,1
11395549,1,21
11395661,1,99
11395661,2,19
11395870,1,98
11395870,2,19
11401498,1,26
11401498,2,26
11402894,1,98
11406247,1,19
11406490,1,99
11406543,1,19
11406543,2,19
11409098,1,99
11409122,1,99
11409124,1,19
11409124,2,19
11411304,1,1
11411304,2,19
11412395,1,99
11412396,1,99
11412397,1,99
11414220,1,19
11414220,2,20
11414224,1,19
11414224,2,19
11415010,2,19
11424594,1,19
11424594,2,19
11424600,1,1
11424600,2,1
11425686,1,20
11429673,1,1
11429712,2,1
11432323,1,1
11432323,2,21
11432330,2,98
11432351,1,19
11433124,1,20
11433167,1,20
11433249,1,20
11434154,1,99
11434276,1,19
11434276,2,19
11434282,3,20
11434300,1,19
11434462,1,1
11434504,2,1
11434507,1,1
11434544,1,20
11434544,2,20
11434582,1,20
11434611,1,1
11434611,2,19
11434616,2,1
11435300,1,1
11435311,1,1
11437681,1,1
11437802,1,99
11437802,2,19
11438054,1,98
11438054,2,98
11442744,2,99
11443028,1,19
11443328,1,1
11443418,1,1
11444132,1,1
11444132,1,21
11444132,1,22
11448616,1,1
11448617,1,1
11448617,2,11
11448639,2,1
11451230,1,19
